run_duration_sec,writers,batch_size,rows_written,ingestion_throughput_per_sec,readers,queries_executed,avg_agg_query_time,p95_agg_query_time,max_agg_query_time
31.1999,1,1000,1418000,45448.8254,10,369,834.93,2561.5337,3199.4581
31.5467,1,2000,786000,24915.4352,10,363,854.9206,2606.1717,3197.9612
30.3741,1,3000,1521000,50075.598,10,331,910.1046,2615.0257,3199.8719
30.6034,1,5000,1470000,48033.8962,10,295,1025.5728,2728.5976,3098.5013
30.952,1,8000,1600000,51692.9773,10,283,1075.9769,2816.1456,3411.7493
30.264,2,1000,1388000,45863.1325,10,339,889.733,2520.3161,2904.3317
31.2183,2,2000,882000,28252.6415,10,262,1174.6221,2805.733,3101.8874
31.3139,2,3000,1227000,39183.8863,10,260,1186.703,2801.0788,3191.9144
30.6989,2,5000,2080000,67754.8601,10,283,1073.0741,2978.2813,3590.101
31.2238,2,8000,2488000,79682.7773,10,322,956.1554,2983.7258,3401.9282
30.5028,3,1000,1488000,48782.3445,10,347,871.5126,2468.9161,3186.3952
30.985,3,2000,1178000,38018.3625,10,274,1110.146,2705.3453,3093.7366
30.9041,3,3000,1476000,47760.5846,10,269,1133.9434,2691.6886,3016.4488
31.617,3,5000,2200000,69582.719,10,266,1166.7892,2772.4112,3011.1237
30.6825,3,8000,3336000,108726.3355,10,279,1089.0166,2714.0853,3302.353
31.3868,4,1000,1653000,52665.4345,10,378,819.2225,2499.4721,3196.9593
30.56,4,2000,1526000,49934.4908,10,277,1095.8706,2931.4736,3388.5247
30.6385,4,3000,1653000,53951.6503,10,209,1447.1691,3268.5193,3588.1312
30.4086,4,5000,3540000,116414.4779,10,388,777.6237,2083.7469,2693.8721
30.6751,4,8000,4776000,155696.5596,10,391,774.1629,2310.0415,2870.8216
31.078,5,1000,1333000,42892.1236,10,319,958.0155,2699.9456,3012.0713
30.5505,5,2000,1970000,64483.2954,10,312,969.4956,2651.9144,2996.5542
31.2294,5,3000,2244000,71855.4691,10,295,1038.073,2880.1993,3290.5415
31.3366,5,5000,3115000,99404.5476,10,224,1371.8322,3118.8241,3518.5565
31.676,5,8000,4592000,144967.5878,10,273,1140.9756,2989.758,3417.2188
