run_duration_sec,writers,batch_size,rows_written,ingestion_throughput_per_sec,readers,queries_executed,avg_agg_query_time,p95_agg_query_time,max_agg_query_time
31.2409,3,3000,8706000,278673.3156,10,303,1012.3265,2376.5186,2747.0546
31.4963,3,5000,9350000,296860.4356,10,299,1027.2979,2453.5404,2994.7238
31.3413,3,8000,9944000,317281.1016,10,289,1064.6626,2498.4315,3259.8956
31.144,4,3000,9024000,289750.5412,10,286,1069.1201,2548.6179,3093.7007
31.5832,4,5000,10155000,321531.7545,10,286,1075.7247,2583.5804,2952.977
31.3507,4,8000,10560000,336834.0684,10,292,1052.0892,2512.5998,2897.1148
30.9878,5,3000,9594000,309605.8614,10,277,1097.9361,2642.6731,3394.8633
30.9907,5,5000,10215000,329614.6119,10,288,1060.5277,2614.3713,3398.9522
31.2498,5,8000,10496000,335874.4961,10,289,1060.6624,2571.3758,3189.4209
